91;136;91
162;99;136
185;57;165
99;102;176
60;85;146
52;73;63
170;73;60
300;126;150
131;72;138
86;167;163
113;159;84
186;145;184
58;66;91
300;151;999
172;138;78
175;72;140
150;112;118
160;65;100
123;133;179
93;140;90
187;190;131
157;115;139
186;73;150
152;107;87
178;123;119
110;115;127
181;199;118
57;124;64
119;128;108
122;138;84
90;150;194
85;110;70
61;112;113
117;123;126
138;72;67
131;125;144
196;188;170
165;121;157
151;137;172
84;176;189
80;146;69
53;170;196
197;86;142
95;184;191
122;77;186
181;160;106
94;162;111
187;157;103
147;96;84
120;159;87
111;190;170
50;183;90
130;170;66
131;108;114
152;71;162
66;170;53
71;93;173
68;70;67
165;171;134
173;157;140
79;90;85
117;137;188
60;116;70
165;100;56
64;79;199
138;125;200
68;171;69
154;184;161
85;80;98
75;117;147
116;129;96
179;150;170
149;98;122
107;186;86
194;129;158
163;58;142
162;122;190
112;51;156
137;70;85
91;74;52
53;179;73
199;72;190
93;174;113
179;177;184
176;80;179
96;132;77
89;131;122
192;159;150
115;63;85
69;133;163
112;63;129
126;163;109
140;97;189
72;157;191
185;68;89
139;198;151
178;118;103
53;61;77
51;183;70
95;122;105
171;176;174
181;112;169
81;154;86
96;56;90
119;141;77
89;137;155
64;158;87
161;108;157
198;98;144
102;81;103
134;66;62
180;189;156
170;120;120
121;53;141
199;199;174
124;135;111
78;172;182
130;96;177
147;63;180
127;175;110
100;149;143
199;127;136
53;189;103
97;103;157
172;128;139
84;55;57
115;130;118
142;180;114
92;152;97
156;171;112
108;154;105
146;177;172
110;107;172
199;151;119
139;179;162
177;90;181
154;120;140
166;116;70
110;144;114
135;189;152
191;175;190
136;102;118
108;59;189
74;58;165
114;141;87
148;124;182
166;185;200
104;154;112
54;137;84
195;97;197
100;200;171
84;160;68
105;121;177
95;75;137
143;145;101
135;68;54
113;92;137
148;90;136
199;100;182
73;56;57
171;177;75
142;131;70
81;65;60
101;54;178
154;143;55
178;177;198
174;103;142
73;72;165
56;143;64
175;133;58
181;118;85
134;66;51
120;74;133
141;179;107
129;86;160
90;182;59
175;60;110
68;177;152
132;194;141
164;177;178
69;145;58
117;68;165
154;143;160
111;159;73
129;141;123
184;74;98
126;148;128
197;176;93
99;100;127
158;102;116
149;132;96
122;112;117
196;190;178
67;139;93
163;158;163
75;90;163
100;75;74
101;125;159
174;147;74
66;183;121
131;69;152
64;120;131
199;175;186
94;180;99
134;162;120
148;55;178
50;130;139
183;126;51
192;196;172
60;132;119
104;93;146
112;86;115
134;198;146
125;172;186
180;78;70
183;122;176
139;77;77
95;101;136
86;125;52
81;94;97
200;92;145
96;135;177
188;86;127
107;158;163
58;93;97
160;84;185
194;139;136
56;141;193
103;82;112
51;184;100
80;90;117
67;195;71
76;191;187
60;147;90
112;55;72
148;147;159
196;116;179
132;132;162
181;194;165
111;114;178
193;200;197
166;75;107
118;169;153
183;129;162
63;116;56
77;73;183
58;85;105
145;156;72
189;108;188
107;84;171
125;98;99
89;55;67
52;96;101
141;178;62
190;122;99
71;140;132
84;151;152
81;194;187
148;110;140
58;68;131
85;196;191
145;191;110
191;59;189
135;166;87
159;145;101
168;162;59
75;182;189
103;168;181
136;50;58
156;89;92
149;78;147
51;52;183
55;103;151
198;196;196
85;64;80
160;111;120
178;107;104
94;54;113
195;157;138
132;101;141
195;150;156
156;130;57
94;56;120
66;112;159
